Benchmarks,Source,NPEX,BASELINE,Genesis,VFIx
activemq-artemis_6fbafc4,Ours,CORRECT,INCORRECT,CORRECT,N/A
Bears-121-buggy,Bears,CORRECT,INCORRECT,INCORRECT,INCORRECT
Activity-3d624a5-buggy,Genesis,CORRECT,INCORRECT,INCORRECT,N/A
DataflowJavaSDK-c06125d-buggy,Genesis,CORRECT,CORRECT,CORRECT,CORRECT
async-http-client_86948f6,Ours,CORRECT,CORRECT,INCORRECT,N/A
commons-io_1ac7bef,Ours,CORRECT,INCORRECT,NO_PATCH,CORRECT
shiro_3ca513f,Ours,CORRECT,INCORRECT,NO_PATCH,"CORRECT
(Jimple)"
Bears-17-buggy,Bears,CORRECT,CORRECT,CORRECT,N/A
Bears-180-buggy,Bears,INCORRECT,NO_PATCH,INCORRECT,N/A
Bears-184-buggy,Bears,CORRECT,INCORRECT,INCORRECT,N/A
Bears-188-buggy,Bears,INCORRECT,INCORRECT,INCORRECT,N/A
aries-jpa_7712046,Ours,CORRECT,INCORRECT,INCORRECT,INCORRECT
Bears-196-buggy,Bears,CORRECT,INCORRECT,CORRECT,N/A
Bears-200-buggy,Bears,NO_PATCH,INCORRECT,INCORRECT,N/A
Bears-222-buggy,Bears,INCORRECT,NO_PATCH,NO_PATCH,N/A
Bears-249-buggy,Bears,NO_PATCH,INCORRECT,NO_PATCH,N/A
Bears-32-buggy,Bears,CORRECT,CORRECT,NO_PATCH,N/A
Bears-46-buggy,Bears,CORRECT,CORRECT,CORRECT,N/A
Bears-56-buggy,Bears,NO_PATCH,INCORRECT,INCORRECT,N/A
Bears-88-buggy,Bears,NO_PATCH,NO_PATCH,NO_PATCH,N/A
caelum-stella-2d2dd9c-buggy,Genesis,CORRECT,CORRECT,CORRECT,N/A
caelum-stella-2ec5459-buggy,Genesis,CORRECT,INCORRECT,CORRECT,N/A
caelum-stella-e73113f-buggy,Genesis,CORRECT,CORRECT,CORRECT,N/A
checkstyle-536bc20-buggy,Genesis,CORRECT,CORRECT,CORRECT,N/A
checkstyle-8381754-buggy,Genesis,CORRECT,CORRECT,CORRECT,N/A
checkstyle-aa829d4-buggy,Genesis,INCORRECT,NO_PATCH,NO_PATCH,N/A
checkstyle-aaf606e-buggy,Genesis,INCORRECT,NO_PATCH,NO_PATCH,N/A
client_java_422e3b3,Ours,INCORRECT,INCORRECT,INCORRECT,N/A
commons-configuration_746821e,Ours,CORRECT,CORRECT,CORRECT,INCORRECT
commons-collections_a270ff6,Ours,NO_PATCH,INCORRECT,NO_PATCH,N/A
commons-dbcp_b137fda,Ours,CORRECT,INCORRECT,INCORRECT,INCORRECT
commons-pool_41f4e41,Ours,CORRECT,CORRECT,Timeout,INCORRECT
httpcomponents-core_a63b121,Ours,CORRECT,CORRECT,CORRECT,VFIx
httpcomponents-client_bf1822c,Ours,INCORRECT,INCORRECT,NO_PATCH,N/A
cxf_ae805e6,Ours,CORRECT,CORRECT,INCORRECT,N/A
karaf_5965290,Ours,INCORRECT,CORRECT,Timeout,INCORRECT
logging-log4j2_147f78c,Ours,INCORRECT,INCORRECT,INCORRECT,INCORRECT
directory-ldap-api_3c6a765,Ours,CORRECT,CORRECT,INCORRECT,N/A
Bears-189-buggy,Bears,INCORRECT,NO_PATCH,NO_PATCH,NO_PATCH
xmlgraphics-fop_62ff114,Ours,INCORRECT,INCORRECT,INCORRECT,INCORRECT
error-prone-370938-buggy,Genesis,CORRECT,INCORRECT,CORRECT,N/A
fastjson_7c05c6f,Ours,NO_PATCH,NO_PATCH,INCORRECT,N/A
feign_cf31cd1,Ours,CORRECT,CORRECT,NO_PATCH,N/A
avro_a7a43da,Ours,NO_PATCH,CORRECT,NO_PATCH,INCORRECT
httpcomponents-client_65c6c25,Ours,NO_PATCH,NO_PATCH,NO_PATCH,N/A
cxf_aebfb0d,Ours,NO_PATCH,CORRECT,INCORRECT,INCORRECT
incubator-hivemall_e86815a,Ours,NO_PATCH,INCORRECT,INCORRECT,INCORRECT
dubbo-hessian-lite_5526dd8,Ours,CORRECT,INCORRECT,INCORRECT,"INCORRECT
(Incorrect Jimple)"
iotdb_97ca7e0,Ours,CORRECT,INCORRECT,INCORRECT,N/A
Java-WebSocket_51b63a2,Ours,INCORRECT,CORRECT,INCORRECT,N/A
javapoet-70b38e5-buggy,Genesis,INCORRECT,INCORRECT,NO_PATCH,N/A
javaslang-faf9ac2-buggy,Genesis,CORRECT,INCORRECT,INCORRECT,N/A
Jest_93f3c48,Ours,INCORRECT,INCORRECT,NO_PATCH,N/A
johnzon_8b5c87d,Ours,INCORRECT,CORRECT,NO_PATCH,N/A
jongo-f46f658-buggy,Genesis,INCORRECT,NO_PATCH,NO_PATCH,N/A
jsoup_1d663ee,Ours,INCORRECT,NO_PATCH,INCORRECT,N/A
jsoup_8808e3f,Ours,NO_PATCH,INCORRECT,INCORRECT,N/A
jspwiki_bdab6f2,Ours,CORRECT,INCORRECT,NO_PATCH,N/A
JSqlParser_2897935,Ours,CORRECT,INCORRECT,CORRECT,N/A
opennlp_cb6ee2c,Ours,CORRECT,CORRECT,CORRECT,NO_PATCH
rocketmq_03c1f11,Ours,CORRECT,CORRECT,Timeout,NO_PATCH
logging-log4j2_2d266d9,Ours,INCORRECT,INCORRECT,INCORRECT,N/A
logging-log4j2_cd881ce,Ours,INCORRECT,INCORRECT,NO_PATCH,N/A
logging-log4j2_d1c02ee,Ours,CORRECT,INCORRECT,INCORRECT,N/A
maven-doxia_16836d8,Ours,INCORRECT,NO_PATCH,NO_PATCH,N/A
maven-release_6b1f658,Ours,INCORRECT,CORRECT,NO_PATCH,N/A
maven-surefire_08163fa,Ours,INCORRECT,NO_PATCH,NO_PATCH,N/A
ninja_3e73cb8,Ours,CORRECT,INCORRECT,INCORRECT,N/A
nutz_bbd28db,Ours,CORRECT,INCORRECT,INCORRECT,N/A
nutz_c8a9e83,Ours,NO_PATCH,INCORRECT,CORRECT,N/A
HikariCP-ce4ff92-buggy,Genesis,NO_PATCH,NO_PATCH,INCORRECT,INCORRECT
OpenPDF_07ecaaf,Ours,CORRECT,INCORRECT,CORRECT,N/A
pdfbox_bdab232,Ours,CORRECT,CORRECT,CORRECT,N/A
picocli_758f4c0,Ours,INCORRECT,NO_PATCH,NO_PATCH,N/A
qpid-proton-j_6422e24,Ours,INCORRECT,INCORRECT,NO_PATCH,N/A
Activiti_0d83e98,Ours,INCORRECT,INCORRECT,INCORRECT,NO_PATCH
commons-bcel_1faf7d9,Ours,INCORRECT,NO_PATCH,NO_PATCH,NO_PATCH
qpid-proton-j_87ec94b,Ours,INCORRECT,CORRECT,NO_PATCH,NO_PATCH
shardingsphere_52b0150,Ours,NO_PATCH,INCORRECT,NO_PATCH,N/A
shardingsphere_e46f68d,Ours,CORRECT,CORRECT,CORRECT,N/A
easy-rules_72d7bff,Ours,NO_PATCH,NO_PATCH,NO_PATCH,NO_PATCH
sling-org-apache-sling-pipes_674819d,Ours,CORRECT,CORRECT,NO_PATCH,N/A
spring-hateoas-48749e7-buggy,Genesis,CORRECT,INCORRECT,CORRECT,N/A
tablesaw_65596d8,Ours,CORRECT,INCORRECT,INCORRECT,N/A
truth-99b314e-buggy,Genesis,INCORRECT,INCORRECT,NO_PATCH,N/A
shardingsphere_48237c8,Ours,NO_PATCH,NO_PATCH,INCORRECT,NO_PATCH
xmlgraphics-fop_991b446,Ours,INCORRECT,NO_PATCH,NO_PATCH,N/A
zookeeper_e41cac8,Ours,INCORRECT,INCORRECT,INCORRECT,N/A
opengrok_6a95adb,Ours,NO_PATCH,NO_PATCH,NO_PATCH,N/A
chart-14,VFix,CORRECT,INCORRECT,N/A,CORRECT
chart-15,VFix,CORRECT,INCORRECT,N/A,CORRECT
chart-16,VFix,INCORRECT,NO_PATCH,N/A,CORRECT
chart-25,VFix,NO_PATCH,CORRECT,N/A,CORRECT
chart-26,VFix,CORRECT,CORRECT,N/A,CORRECT
chart-4,VFix,CORRECT,INCORRECT,N/A,CORRECT
collections-360,VFix,CORRECT,INCORRECT,N/A,CORRECT
collections-39,VFix,NO_PATCH,INCORRECT,N/A,CORRECT
felix-5464,VFix,CORRECT,INCORRECT,N/A,CORRECT
lang-20,VFix,CORRECT,CORRECT,N/A,CORRECT
lang-33,VFix,CORRECT,INCORRECT,N/A,CORRECT
lang-39,VFix,CORRECT,INCORRECT,N/A,CORRECT
lang-47,VFix,CORRECT,INCORRECT,N/A,CORRECT
math-4,VFix,CORRECT,INCORRECT,N/A,CORRECT
pdfbox-2477,VFix,CORRECT,CORRECT,N/A,CORRECT
pdfbox-2948,VFix,CORRECT,CORRECT,N/A,CORRECT
pdfbox-2965,VFix,CORRECT,CORRECT,N/A,CORRECT
pdfbox-2995,VFix,CORRECT,INCORRECT,N/A,CORRECT
pdfbox-3572,VFix,CORRECT,INCORRECT,N/A,CORRECT
sling-6487,VFix,CORRECT,INCORRECT,N/A,CORRECT
felix-4960,VFix,CORRECT,INCORRECT,N/A,INCORRECT
lang-57,VFix,INCORRECT,INCORRECT,N/A,INCORRECT
math-70,VFix,NO_PATCH,INCORRECT,N/A,INCORRECT
pdfbox-2266,VFix,INCORRECT,INCORRECT,N/A,INCORRECT
pdfbox-3479,VFix,NO_PATCH,CORRECT,N/A,INCORRECT
sling-4982,VFix,CORRECT,INCORRECT,N/A,INCORRECT
chart-2,VFix,NO_PATCH,NO_PATCH,N/A,NO_PATCH
math-79,VFix,NO_PATCH,NO_PATCH,N/A,NO_PATCH
pdfbox-2812,VFix,NO_PATCH,NO_PATCH,N/A,NO_PATCH
pdfbox-2951,VFix,INCORRECT,NO_PATCH,N/A,NO_PATCH